InteractorA,InteractorB
Q8TAA9,O43889
Q8TAA9,P26045
Q8NEZ2,Q8IWZ5
Q8NEZ2,Q99816
O75528,Q9NY61
O75528,P24863
O75528,Q8BWQ5
O75528,Q96MH2
O75528,Q8N2W9
O75528,P28702
O75528,Q96ES7
O75528,P45974
P04271,Q15109
P04271,Q00987
P04271,P23297
P04271,Q5T7Y6
P04271,P31949
P04271,P29034
P04271,P26447
P04271,P06703
P04271,P25815
P04271,Q9NZD8
P04271,P04637
Q06330,P54253
Q06330,P0C7T5
Q06330,P12978
Q06330,P12977
Q06330,P03203
Q06330,P03204
Q06330,Q6P3S6
Q06330,O60341
Q06330,Q9Y618
Q06330,P46531
Q06330,Q01705
Q06330,Q9UPP1
Q06330,Q96K30
Q06330,P0CJ62
Q06330,P51532
Q06330,Q13573
Q06330,Q96T58
Q06330,P04637
Q86UE8,Q15306
Q86UE8,Q92985
Q9BVK8,O95870
Q9BVK8,Q96BA8
Q9BVK8,P28335
Q9BVK8,Q5T700
Q9BVK8,Q9H813
Q9BVK8,Q8N205
Q86WV5,Q2NKJ3
Q86WV5,Q9H668
Q9BTM9,P55060
Q9BTM9,Q7Z7A3
Q9BTM9,O95396
Q9BTM9,Q9Y4E8
Q9H0D6,Q96HQ2
Q8N6Y0,Q8N9J2
Q8N6Y0,Q99996
Q8N6Y0,Q96IX9
Q8N6Y0,P53365
Q8N6Y0,P48047
Q8N6Y0,O15155
Q8N6Y0,Q00994
Q8N6Y0,Q13515
Q8N6Y0,Q9NX04
Q8N6Y0,Q8TAB5
Q8N6Y0,Q8IYX3
Q8N6Y0,Q96HB5
Q8N6Y0,Q6ZUS5
Q8N6Y0,Q8IYE0
Q8N6Y0,Q8NFR7
Q8N6Y0,O60826
Q8N6Y0,Q8N4L8
Q8N6Y0,Q9NVE4
Q8N6Y0,Q8TD31
Q8N6Y0,Q6IPU0
Q8N6Y0,Q76N32
Q8N6Y0,Q8IYR0
Q8N6Y0,Q8NE01
Q8N6Y0,Q9BT78
Q8N6Y0,Q99627
Q8N6Y0,Q9NSA3
Q8N6Y0,Q9P2B4
Q8N6Y0,O60941
Q8N6Y0,Q8WWB3
Q8N6Y0,O60573
Q8N6Y0,P07992
Q8N6Y0,Q8IYI6
Q8N6Y0,O95990
Q8N6Y0,Q9BQ89
Q8N6Y0,Q9H5Z6
Q8N6Y0,A0A0S2Z3R2
Q8N6Y0,Q8TES7
Q8N6Y0,P02792
Q8N6Y0,Q8WXI9
Q8N6Y0,Q8NEA9
Q8N6Y0,B1APZ0
Q8N6Y0,Q0D2H9
Q8N6Y0,Q08AF8
Q8N6Y0,Q9Y4H4
Q8N6Y0,Q96CS2
Q8N6Y0,O14964
Q8N6Y0,Q8IY31
Q8N6Y0,Q9NV31
Q8N6Y0,A0A0C4DG38
Q8N6Y0,Q96HW7
Q8N6Y0,Q2KHM9
Q8N6Y0,Q9NSK0
Q8N6Y0,Q2WGJ6
Q8N6Y0,P52292
